"SamplingSize","SampleID","minsplit","minbucket","maxdepth","complexity","AvgSampleDistance","ValidError","GeneralizedError","ASEMeanError","ModelTime"
33,8,5,2,30,0.01,486.366666666675,2.36708278547876,3.74092819772264,3.11488011066105,1.36807799339294
33,9,6,2,30,0.001,486.533333333342,2.29593114180886,4.07357536066086,4.90536521286023,1.216068983078
33,10,4,1,30,0.001,485.633333333342,3.08407359198557,2.78871912880834,3.55653444599899,1.31607508659363
33,11,10,3,30,0.01,485.266666666675,1.81337630277832,3.87751043928144,3.31562393625996,1.19606781005859
33,12,2,1,30,0.01,488.800000000008,3.92857174737767,2.31934311530819,4.00711929733771,1.18806791305542
33,13,6,2,30,0.01,487.633333333342,0.578232163392256,3.73158151498504,3.79030097742206,1.18206810951233
33,14,2,1,30,0.01,487.333333333342,4.64951928358963,4.54199076555996,4.54982942815411,1.16606712341309
33,15,2,1,30,0.001,485.866666666675,3.18011712405654,2.51153042369418,3.26026419839236,1.16906690597534
33,16,3,1,30,0.001,486.333333333342,3.64080025004687,4.28484887694095,3.44329709246614,1.18806791305542
33,17,5,2,30,0.001,486.533333333342,0.920258056710572,3.44468016990929,4.01161114258,1.24707102775574
33,18,1,0,30,0.01,486.433333333342,5.34140501688721,6.1682990427915,5.06389758312964,1.18406701087952
33,19,2,1,30,1e-04,487.333333333342,0.970284243535178,2.562828437987,4.11273705222396,1.18106698989868
33,20,4,1,30,0.001,485.766666666675,0.791732858866106,2.99618557061664,3.87730067279596,1.1620659828186
33,21,5,2,30,0.01,486.000000000008,1.47800546705857,3.26350799444572,3.83869153856391,1.16306591033936
33,22,2,1,30,1e-05,485.400000000008,1.88014542273426,2.43266229703778,3.05443120298888,1.16706609725952
33,23,14,5,30,0.01,487.000000000008,1.78737599854239,4.52554358816157,3.37929023871177,1.19106817245483
33,24,1,0,30,0.01,485.566666666675,1.06413421682886,6.11099173762671,4.40060806524072,1.18906784057617
33,25,2,1,30,0.001,486.466666666675,1.65306617052416,2.93637470391411,3.01450767275657,1.19906783103943
33,26,2,1,30,0.001,486.666666666675,3.68081041500169,4.65946675153994,3.70989244829752,1.22306990623474
33,27,2,1,30,0.01,485.866666666675,3.45293636961426,2.78656458424338,3.11640784240277,1.3260760307312
33,28,2,1,30,0.001,488.400000000008,0.943920576443988,3.26936615549441,3.55579852498537,1.18506813049316
33,29,5,2,30,0.01,485.500000000008,2.7599885042583,4.13294607783842,3.47523945665708,1.33707690238953
33,30,12,4,30,0.01,486.466666666675,1.51333582786371,4.72861002137775,2.80066045660989,1.19106817245483
44,1,2,1,30,0.01,480.424999999993,0.676109854449876,2.72555671235789,3.30146183481328,1.84610486030579
44,2,6,2,30,0.01,480.874999999993,2.68266459600548,3.8430728680909,3.34602576432422,1.86110591888428
44,3,22,7,30,0.01,481.499999999993,2.30102353850248,5.54129290901118,4.01735797717192,1.98611307144165
44,4,18,6,30,0.01,481.999999999993,2.31799633986271,4.55806198009402,3.59999904689396,2.21512699127197
44,5,1,0,30,0.01,482.249999999993,2.78692297162421,6.12218960959307,4.03239198202577,1.91810989379883
44,6,2,1,30,0.001,480.549999999993,1.0461365750979,2.19054331178742,3.69800871160265,1.71109795570374
44,7,2,1,30,0.001,482.524999999993,3.13908332088319,3.07718922877805,3.7656736206786,2.05211806297302
44,8,5,2,30,0.001,482.124999999993,3.78748197649945,2.8335729524167,3.33312544163757,2.19712591171265
44,9,2,1,30,1e-04,482.399999999993,0.515712980887633,2.41230905816681,4.12310187720997,3.23618507385254
44,10,2,1,30,0.001,481.124999999993,1.94266472807163,2.00089945141103,3.17015720902905,1.82810401916504
44,11,18,6,30,0.01,482.974999999993,4.06155683936043,5.04489837887464,4.00886542178507,2.32613277435303
44,12,8,3,30,0.01,485.099999999993,4.8633586700576,4.13017271587039,4.35909325876124,1.94711208343506
44,13,4,1,30,0.001,480.649999999993,2.08995345986271,3.38623629119444,3.23492035120209,1.77710199356079
44,14,10,3,30,0.01,481.574999999993,4.50432389075203,4.48914206897955,3.80845407044594,1.71009707450867
44,15,2,1,30,0.001,481.899999999993,0.34716619221166,2.43105025798581,3.28748676084605,1.65409398078918
44,16,22,7,30,0.01,482.874999999993,4.2921790709434,5.26772324869803,2.95916262229368,1.53508806228638
44,17,2,1,30,0.001,481.724999999993,2.43471168672421,2.07759767191081,3.32300147841559,1.86710691452026
44,18,5,2,30,0.001,482.324999999993,1.3311401631678,2.5375619132751,2.93139214351937,1.7861020565033
44,19,6,2,30,0.001,480.899999999993,3.9040926492376,3.53933843094074,3.55698572615094,1.71109795570374
44,20,13,4,30,0.01,481.124999999993,2.39894925878363,4.09130711907895,2.87477944534861,1.64709401130676
44,21,2,1,30,0.01,483.674999999993,3.18504910549397,3.17864136445214,3.75520165087299,2.22012686729431
44,22,10,3,30,0.01,482.299999999993,1.36145735655302,3.36254255518669,2.84662075083704,2.19812607765198
44,23,13,4,30,0.01,480.499999999993,2.12714046139509,3.90684381168736,3.51756876500481,1.75110006332397
44,24,5,2,30,0.001,481.374999999993,6.10402392162973,5.56480101890602,3.47963580318186,1.66909503936768
44,25,2,1,30,1e-04,482.024999999993,1.7562740848165,4.20178204201013,2.77397387719942,1.52108693122864
44,26,2,1,30,1e-04,480.574999999993,1.18644776051929,2.64382830111341,3.21538512534364,1.78710198402405
44,27,2,1,30,0.01,481.474999999993,0.89293121817179,2.36456583626385,3.62913985884464,1.83210396766663
44,28,7,2,30,0.001,483.425000000001,0.804010657282086,2.18967564407415,3.43073011976529,1.58309006690979
44,29,8,3,30,0.01,482.550000000001,2.576380004902,2.62519052675636,3.3349358454077,1.68409609794617
44,30,2,1,30,0.001,480.799999999993,1.40072844397661,3.9989946511086,3.97309907994855,1.81010293960571
55,1,6,2,30,0.001,477.339999999978,0.5572000612072,3.50345407778427,4.15844239799859,2.16312313079834
55,2,2,1,30,0.001,475.439999999978,0.894890860434171,3.52458340283336,4.37561445360136,2.10511994361877
55,3,4,1,30,0.01,477.679999999978,1.56662904692909,2.49330007989607,3.23439831986398,2.67515301704407
55,4,3,1,30,1e-04,475.579999999978,0.86889119482925,2.72483255434165,3.75020555464114,2.01411509513855
55,5,3,1,30,1e-04,476.539999999985,2.34448074049944,3.12492191742271,3.67000211484798,2.31713199615479
55,6,16,5,30,0.01,476.739999999978,2.05314779633203,3.80047935060924,3.61669291647403,2.06611800193787
55,7,12,4,30,0.01,475.579999999978,2.25180113804218,3.85289955307308,3.66274833657654,2.41613793373108
55,8,6,2,30,0.001,476.379999999978,1.67462102165207,3.60521309894408,3.96479025497344,2.49514198303223
55,9,6,2,30,0.001,478.439999999978,2.30258414592779,2.81436731846028,3.52932149491473,3.24218487739563
55,10,10,3,30,0.01,476.359999999978,3.33040811813272,4.22353414233033,4.68212939120366,4.11023497581482
55,11,2,1,30,1e-04,475.539999999978,1.26763303380431,1.96813270854868,3.65509833316849,2.42513799667358
55,12,2,1,30,0.001,477.159999999978,1.27584855771207,1.64676532760635,2.95131910989387,2.24812793731689
55,13,2,1,30,0.001,476.639999999978,0.991548622812848,1.81819024044597,3.41803612156979,2.13312196731567
55,14,17,6,30,0.01,475.359999999978,2.38899729360552,3.74538052006532,3.31971608337897,2.05611801147461
55,15,6,2,30,0.01,479.259999999978,3.00616015094167,2.51011576020087,3.76785587282941,2.02711606025696
55,16,2,1,30,0.01,475.419999999978,2.04941751881423,2.20486512579763,3.54469729194853,2.18712496757507
55,17,4,1,30,1e-04,475.939999999978,1.81193747286496,3.6306369748521,3.86121578324991,2.13012194633484
55,18,2,1,30,0.01,476.059999999978,0.302917525097314,1.94244704987755,3.91617850615823,2.18012499809265
55,19,27,9,30,0.01,476.019999999978,3.16836241633443,5.52948529944524,4.03330916478719,2.00911498069763
55,20,5,2,30,0.001,476.799999999978,1.97024456397471,2.11336782139079,3.71222905779129,2.25312900543213
55,21,7,2,30,0.001,477.099999999978,1.52833773965745,2.24771664979321,3.74361478012151,2.21212697029114
55,22,7,2,30,0.01,477.939999999978,2.60958456580905,3.03223962686343,3.06417590716405,2.0151150226593
55,23,8,3,30,0.001,477.479999999978,1.42165079547096,3.42766064273376,3.20748419348146,2.00111413002014
55,24,5,2,30,0.001,477.559999999978,0.416060499661538,2.74587942141273,3.34274123726835,2.07411885261536
55,25,4,1,30,1e-04,477.059999999978,1.41902660679735,1.49100520388308,3.54957036032309,2.40213704109192
55,26,2,1,30,0.001,476.119999999978,2.01465842351625,1.75343528165761,3.37810249859214,2.14212203025818
55,27,2,1,30,0.001,476.059999999978,0.705031382435558,2.91036583773355,3.06215861496998,2.24512910842896
55,28,5,2,30,0.001,477.379999999978,0.974432421080189,1.78807076136368,3.85819869371479,2.00411486625671
55,29,8,3,30,0.01,475.579999999978,1.37645725169868,2.6456401674716,4.62716341974456,2.6411509513855
55,30,3,1,30,1e-04,477.719999999978,3.95423853690293,2.43541720531356,3.56173374817415,2.10512113571167
